scaffold_1,45311,44129,49.26846465714789
scaffold_3,21610,23343,49.80003766603521
scaffold_17,7314,8344,30.997960920951044
scaffold_187,5153,5982,30.655507529664398
scaffold_646,3522,2965,29.08968609865471
scaffold_3427,3130,3308,50.05053253517842
scaffold_3473,2250,2308,26.550940758431878
scaffold_3682,2521,2441,44.815751445086704
scaffold_4013,2768,2592,43.82307252064427
scaffold_4270,5320,5199,44.50979562476199
scaffold_4345,2820,2847,47.97257258952003
scaffold_4475,2395,2466,51.58654356362093
scaffold_4621,5550,5274,52.8
scaffold_5170,1159,1307,27.627156621106877
scaffold_5499,2706,2911,52.801278435796206
scaffold_6842,3211,2605,59.6941393821205
scaffold_6876,1799,1692,29.708109948089522
scaffold_6906,2173,2321,46.37770897832817
scaffold_7164,1793,1811,48.987358977844224
scaffold_8411,1193,1193,35.69718731298623
scaffold_10122,2665,2205,54.40732879007932
scaffold_10134,2298,2525,46.397306397306394
scaffold_10362,1836,1858,46.25015650431952
scaffold_10415,3784,4077,51.973553719008265
scaffold_10907,1268,1444,47.52058875065709
scaffold_11258,910,794,30.675067506750672
scaffold_11347,1937,1917,38.17353407290015
scaffold_11968,1315,1070,31.522601110229974
scaffold_12626,1339,1302,51.774161929033525
scaffold_12694,1352,1399,54.11093627065303
scaffold_13543,1136,1148,47.59324859345696
scaffold_14555,719,749,32.33480176211454
scaffold_15435,3403,3041,55.58526697144829
scaffold_16483,970,932,46.89349112426036
scaffold_17341,750,822,26.07830126078301
scaffold_21573,473,426,29.58209937479434
scaffold_21965,487,465,28.743961352657003
scaffold_22759,517,491,36.50851140890982
scaffold_23799,372,407,30.394069449863437
scaffold_25545,1059,1094,48.876276958002265
scaffold_28832,345,370,36.51685393258427
scaffold_29313,583,402,30.233271945979126
scaffold_30264,476,481,52.06746463547334
scaffold_30390,990,1127,34.69354310062275
scaffold_31131,430,482,28.526743822333437
scaffold_31625,254,267,31.59490600363857
scaffold_32892,266,305,37.05386112913692
scaffold_33034,258,296,36.3040629095675
scaffold_33508,232,182,28.870292887029287
scaffold_33646,188,191,27.62390670553936
scaffold_34268,396,446,59.67399007795889
scaffold_34774,199,244,32.38304093567251
scaffold_35263,1443,1598,39.24377339011485
scaffold_36219,152,196,27.5098814229249
scaffold_40060,280,300,57.59682224428997
